,target,source,Similarity
209,51462 NO SMILE CLOSE UP 11.30.18.JPG,51462 NO SMILE CLOSE UP 11.30.18.JPG,100.0
210,51471 NO SMILE CLOSE UP.JPG,51471 NO SMILE CLOSE UP.JPG,100.0
211,51472 NO SMILE CLOSE UP.JPG,51472 NO SMILE CLOSE UP.JPG,100.0
212,51481 NO SMILE 02.02.19.JPG,51481 NO SMILE 02.02.19.JPG,100.0
213,51482 NO SMILE CLOSE UP 02.02.19.JPG,51482 NO SMILE CLOSE UP 02.02.19.JPG,100.0
214,51491 NO SMILE CLOSE UP 01.15.2019.JPG,51491 NO SMILE CLOSE UP 01.15.2019.JPG,100.0
215,51492 NO SMILE CLOSE UP 01.15.2019.JPG,51492 NO SMILE CLOSE UP 01.15.2019.JPG,100.0
216,51531 NO SMILE CLOSE UP 1.8.19.JPG,51531 NO SMILE CLOSE UP 1.8.19.JPG,100.0
217,51532 NO SMILE CLOSE UP 1.8.19.JPG,51532 NO SMILE CLOSE UP 1.8.19.JPG,100.0
218,51541 NO SMILE CLOSE UP 1.3.19.JPG,51541 NO SMILE CLOSE UP 1.3.19.JPG,100.0
219,51542 NO SMILE CLOSE UP 1.20.19.JPG,51542 NO SMILE CLOSE UP 1.20.19.JPG,100.0
220,51551 NO SMILE CLOSE UP.JPG,51551 NO SMILE CLOSE UP.JPG,100.0
221,51552 NO SMILE CLOSE UP.JPG,51552 NO SMILE CLOSE UP.JPG,100.0
222,51561 NO SMILE CLOSE UP 1.19.19.JPG,51561 NO SMILE CLOSE UP 1.19.19.JPG,100.0
223,51562 NO SMILE CLOSE UP 1.19.19.JPG,51562 NO SMILE CLOSE UP 1.19.19.JPG,100.0
224,51571 NO SMILE CLOSE UP.JPG,51571 NO SMILE CLOSE UP.JPG,100.0
225,51572 NO SMILE CLOSE UP.JPG,51572 NO SMILE CLOSE UP.JPG,100.0
226,51581 UP CLOSE NO SMILE 1.26.19.JPG,51581 UP CLOSE NO SMILE 1.26.19.JPG,100.0
227,51582 UP CLOSE NO SMILE 1.26.19.JPG,51582 UP CLOSE NO SMILE 1.26.19.JPG,100.0
228,51591 NO SMILE UP CLOSE 1.10.19.JPG,51591 NO SMILE UP CLOSE 1.10.19.JPG,100.0
229,51592 NO SMILE UP CLOSE 1.10.19.JPG,51592 NO SMILE UP CLOSE 1.10.19.JPG,100.0
230,51611 NO SMILE CLOSE UP.JPG,51611 NO SMILE CLOSE UP.JPG,100.0
231,51612 NO SMILE CLOSE UP.JPG,51612 NO SMILE CLOSE UP.JPG,100.0
232,51621 CLOSE UP SERIOUS 1.25.19.JPG,51621 CLOSE UP SERIOUS 1.25.19.JPG,100.0
233,51622 CLOSE UP SERIOUS 1.25.19.JPG,51622 CLOSE UP SERIOUS 1.25.19.JPG,100.0
234,51631 NO SMILE CLOSE UP 03.12.19.JPG,51631 NO SMILE CLOSE UP 03.12.19.JPG,100.0
235,51632 NO SMILE CLOSE UP 03.12.19.JPG,51632 NO SMILE CLOSE UP 03.12.19.JPG,100.0
236,51641 NO SMILE CLOSE UP 02.03.19.JPG,51641 NO SMILE CLOSE UP 02.03.19.JPG,100.0
237,51642 CLOSE UP NO SMILE 2.7.19.JPG,51642 CLOSE UP NO SMILE 2.7.19.JPG,100.0
238,51651 NO SMILE UP CLOSE 3.14.19.JPG,51651 NO SMILE UP CLOSE 3.14.19.JPG,100.0
239,51652 NO SMILE UP CLOSE 3.14.19.JPG,51652 NO SMILE UP CLOSE 3.14.19.JPG,100.0
240,51661 CLOSE UP NO SMILE 2.19.19.JPG,51661 CLOSE UP NO SMILE 2.19.19.JPG,100.0
